conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description,code
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,skill/competence,cross-sector,develop energy saving concepts,"develop concepts for energy saving
create energy saving concepts
energy saving concepts creating
creating energy saving concepts
creating concepts for energy saving
energy saving concepts developing
create concepts for energy saving",,released,2023-11-30T16:47:09.526Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials.",T2.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,skill/competence,sector-specific,purchase supplies,"acquire supplies
pay for supplies
gain supplies
purchase DIY supplies
purchase of supplies
supplies purchasing
purchasing supplies
buy supplies",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Purchase and replenish supplies; make sure that all required goods are available in stock.,S4.3.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,skill/competence,cross-sector,develop blockchain innovative architectures,build innovative blockchain architectures,,released,2023-11-29T16:35:26.138Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Develop new blockchain architectures that address properties and priorities as they are needed by specific applications. Argue the advantages and shortcomings of such new architectures with respect to existing ones.,S1.11.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,knowledge,cross-sector,biomedical science,principles of natural sciences applied to medicine,,released,2023-11-30T16:26:20.41Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",The principles of the natural sciences applied to medicine. Medical sciences such as medical microbiology and clinical virology apply biology principles for medical knowledge and invention.,0711
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,skill/competence,cross-sector,manage supplies,"supplies managing
control and monitor supplies
monitor and control supplies
supply chain management
supplies planning
manage supply chain
plan supplies
supplies management",,released,2023-11-30T15:52:38.018Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronise supply with demand of production and customer.",S4.3.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02820870-3b92-480b-8475-8a521563ea3c,skill/competence,sector-specific,collect property financial information,"audit properties
collect information on property finance
collect financial information on properties",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Collect information concerning the previous transactions involving the property, such as the prices at which the property had been previously sold and the costs that went into renovations and repairs, in order to obtain a clear image of the property's value.",S2.3.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02c462b7-b93b-44a7-ba3a-9d3b7a163f51,skill/competence,sector-specific,provide context to news stories,"offer context to news stories
situate news stories
provide context to news story
contextualize news stories
providing context to news stories",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Provide substantial context to national or international news stories to explain things in more detail.,T2.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,skill/competence,transversal,understand written Korean,"read Korean
comprehend written Korean
make sense of written Korean
interpret written Korean
understand Korean writing",,released,2025-01-27T15:17:56.551Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-language-groups",Read and comprehend written texts in Korean.,T1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03227978-f839-4cc8-88a6-0a3c44d2c776,skill/competence,cross-sector,supervise work on design planning,"supervising work on design planning
produce work on design planning
develop work on design planning
supervising the work on design planning
supervise the work on design planning
model work on design planning
arrange work on design planning",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Supervise the work in progress at the design stage and on site.,S4.2.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049b5d37-aab3-4b6a-a505-bf254a434b5d,skill/competence,transversal,understand written Latvian,"make sense of written Latvian
comprehend written Latvian
understand Latvian writing
interpret written Latvian
read Latvian",,released,2025-01-27T15:23:29.167Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-language-groups",Read and comprehend written texts in Latvian.,T1.1
