conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description,code,courseTopicSimilarity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,Haskell techniques,,released,2023-11-30T16:13:21.77Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.",0613,0.52636456
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,knowledge,sector-specific,incremental development,gradual development,,released,2023-11-30T16:04:23.487Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The incremental development model is a methodology to design software systems and applications.,0413,0.55130386
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,knowledge,sector-specific,network engineering,network architecture,,released,2023-11-29T16:25:25.314Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The subfield of computer technology that concerns the managing the connectivity of networks through data, voice, calls and wireless network services.",0714,0.46288747
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,skill/competence,sector-specific,define database physical structure,define database physical storage structure,,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.",S5.5.2,0.55432034
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,knowledge,sector-specific,Erlang,Erlang programming language,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang.",0613,0.5426634
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0435fe96-523f-4888-a76f-22df1e92d9c4,knowledge,cross-sector,photogrammetry,photographic surveying,,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The science of taking photographs from at least two different locations in order to measure land surfaces to be represented in a map, 3D model or physical model.",0731,0.4889854
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,knowledge,sector-specific,SAS language,"SAS coding
SAS algorithms
SAS testing
SAS algorithm
SAS programming language
SAS principles for software development
SAS techniques for software development",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language.",0542,0.57598543
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06d09f70-6ca8-4078-be72-4c2c2a11ee61,knowledge,occupation-specific,program management,programs management,,released,2024-01-29T11:29:54.466Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",The management of programs that are mapped to business objectives for improving organizational performance. It involves overseeing a group of projects linked together by a common area of impact.,0413,0.49089563
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8,knowledge,cross-sector,mathematical modelling,"mathematical computation
mathematical representation
mathematical simulation",,released,2024-01-29T11:25:09.926Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The process of establishing a mathematical representation problem, such as equations, of a real-word to provide insights, discover new features about the problematic scenario, better understand the original problem or to make predictions about it.",054,0.53441846
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,knowledge,cross-sector,computer simulation,"simulation software ANSYS
computer-based simulation",,released,2025-04-11T13:04:46.998Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","A programme run on a computer that represents dynamic responses of a system to explore a mathematical model behaviour, using a model of a real system, composed of mathematical equations.",0611,0.50160134
